Ref	Traits	MeSH_Term	MeSH_ID	MeSH_Tree	MeSH_Cat	MeSH_Group	MeSH_Anatomy	MeSH_Anatomy_Category	Ref-Category	Note
Johnson 2015	Low density lipoprotein cholesterol measurement	"Cholesterol, LDL"	D008078	D04.210.500.247.808.197.244	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0004611; Phecode=-
Kim 2021	Chondrocalcinosis	Chondrocalcinosis	D002805	C05.550.114.264	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=274.21
Kim 2021	Choroidal degenerations	Choroid Diseases	D015862	C11.941.160	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=363.4
Kim 2021	Memory performance	Cognition	D003071	F02.463.188	Psychiatry	Psychiatry	Brain	Nervous System	Psychiatry	GWAS=EFO_0004874; Phecode=-
Kim 2021	Cognitive decline measurement	Cognitive Dysfunction	D060825	F03.615.250.700	Psychiatry	Psychiatry	Brain	Nervous System	Psychiatry	GWAS=EFO_0007710; Phecode=-
Kim 2021	Cognitive impairment	Cognitive Dysfunction	D060825	F03.615.250.700	Psychiatry	Psychiatry	Brain	Nervous System	Psychiatry	GWAS=HP_0100543; Phecode=-
Kim 2021	Cognitive impairment measurement	Cognitive Dysfunction	D060825	F03.615.250.700	Psychiatry	Psychiatry	Brain	Nervous System	Psychiatry	GWAS=EFO_0007998; Phecode=-
Kim 2021	Mild cognitive impairment	Cognitive Dysfunction	D060825	F03.615.250.700	Psychiatry	Psychiatry	Brain	Nervous System	Psychiatry	GWAS=-; Phecode=292.2
Donertas 2020	Psychological/psychiatric problem	Cognitive Dysfunction	D060825	F03.615.250.700	Psychiatry	Psychiatry	Brain	Nervous System	neurology/eye/psychiatry	Age-of-onset Cluster=2; Not-equivalent
Kim 2021	Angiodysplasia of intestine	Colonic Diseases	D003108	C06.405.469.158	Disease	Digestive System Diseases	Intestines	Digestive System	Digestive System Diseases	GWAS=-; Phecode=556.11
Chang 2019	Colon and rectum cancer	Colonic Neoplasms	D003110	C04.588.274.476.411.307.180	Disease	Neoplasms	Colon	Digestive System	Neoplasms	-
Kim 2021	Colon cancer	Colonic Neoplasms	D003110	C04.588.274.476.411.307.180	Disease	Neoplasms	Colon	Digestive System	Neoplasms	GWAS=-; Phecode=153.2
Kim 2021	Colorectal cancer	Colorectal Neoplasms	D015179	C04.588.274.476.411.307	Disease	Neoplasms	Colon	Digestive System	Neoplasms	GWAS=EFO_0005842; Phecode=153
Donertas 2020	Connective tissue disorder	Connective Tissue Diseases	D003240	C17.300	Disease	Skin and Connective Tissue Diseases	Connective Tissue	Connective Tissue	immunological/systemic disorders	Age-of-onset Cluster=1; -
Kim 2021	Disorders of cornea	Corneal Diseases	D003316	C11.204	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=364
Kim 2021	Corneal degenerations	"Corneal Dystrophies, Hereditary"	D003317	C11.204.236	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=364.4
Kim 2021	Corneal dystrophy	"Corneal Dystrophies, Hereditary"	D003317	C11.204.236	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=364.5
Kim 2021	Corneal edema	Corneal Edema	D015715	C11.204.267	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=364.2
Kim 2021	Coronary artery disease	Coronary Artery Disease	D003324	C14.280.647.250.260	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0000378; Phecode=-
Kim 2021	Coronary atherosclerosis	Coronary Artery Disease	D003324	C14.280.647.250.260	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=411.4
Johnson 2015	Coronary heart disease	Coronary Disease	D003327	C14.280.647.250	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	-	GWAS=EFO_0001645; Phecode=-
Johnson 2015	C-reactive protein measurement	C-Reactive Protein	D002097	D12.776.034.145	Chemical	Chemical	Serum	Fluids and Secretions	-	GWAS=EFO_0004458; Phecode=-
Kim 2021	Elevated C-reactive protein	C-Reactive Protein	D002097	D12.776.034.145	Chemical	Chemical	Serum	Fluids and Secretions	Chemical	GWAS=-; Phecode=790.8
Kim 2021	"Cyst of kidney, acquired"	Cysts	D003560	C04.182	Disease	Neoplasms	Kidney	Urogenital System	Neoplasms	GWAS=-; Phecode=586.2
Kim 2021	Sudden cardiac arrest	"Death, Sudden, Cardiac"	D016757	C14.280.383.220	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0004278; Phecode=-
Kim 2021	Dysphagia	Deglutition Disorders	D003680	C06.405.117.119	Disease	Digestive System Diseases	Esophagus	Digestive System	Digestive System Diseases	GWAS=HP_0002015; Phecode=532
Kim 2021	Dementia	Dementia	D003704	C10.228.140.380	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=HP_0000726; Phecode=-
Kim 2021	Dementia with cerebral degenerations	Dementia	D003704	C10.228.140.380	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=290.12
Kim 2021	Dementias	Dementia	D003704	C10.228.140.380	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=290.1
Kim 2021	Senile dementia	Dementia	D003704	C10.228.140.380	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=-; Phecode=290.13
Kim 2021	Vascular dementia	"Dementia, Vascular"	D015140	C10.228.140.300.400	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0004718; Phecode=290.16
Donertas 2020	Depression	Depression	D003863	F01.145.126.350	Disease	Behavior and Behavior Mechanisms	Brain	Nervous System	neurology/eye/psychiatry	Age-of-onset Cluster=2; -
Chang 2019	Fungal skin diseases	Dermatomycoses	D003881	C01.150.703.302	Disease	Infections	Skin	Integumentary System	Skin and subcutaneous diseases	-
Kim 2021	Type 2 diabetic peripheral circulatory disorders	Diabetes Complications	D048909	C19.246.099	Disease	Endocrine System Diseases	Serum	Fluids and Secretions	Endocrine System Diseases	GWAS=-; Phecode=250.25
Donertas 2020	Diabetes	Diabetes Mellitus	D003920	C18.452.394.750	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	endocrine/diabetes	Age-of-onset Cluster=1; -
Kim 2021	Diabetes mellitus	Diabetes Mellitus	D003920	C18.452.394.750	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	Nutritional and Metabolic Diseases	GWAS=EFO_0000400; Phecode=250
Donertas 2020	Endocrine/diabetes	Diabetes Mellitus	D003920	C18.452.394.750	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	endocrine/diabetes	Age-of-onset Cluster=1; Not-equivalent; Too big category
Donertas 2020	Type 2 diabetes	"Diabetes Mellitus, Type 2"	D003924	C18.452.394.750.149	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	endocrine/diabetes	Age-of-onset Cluster=1; -
Kim 2021	Type 2 diabetes	"Diabetes Mellitus, Type 2"	D003924	C18.452.394.750.149	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	Nutritional and Metabolic Diseases	GWAS=-; Phecode=250.2
Kim 2021	Type II diabetes mellitus	"Diabetes Mellitus, Type 2"	D003924	C18.452.394.750.149	Disease	Nutritional and Metabolic Diseases	Pancreas	Digestive System	Nutritional and Metabolic Diseases	GWAS=EFO_0001360; Phecode=-
Kim 2021	Type 2 diabetic ketoacidosis	Diabetic Ketoacidosis	D016883	C18.452.076.176.652.500	Disease	Nutritional and Metabolic Diseases	Serum	Fluids and Secretions	Nutritional and Metabolic Diseases	GWAS=-; Phecode=250.21
Kim 2021	Type 2 diabetic nephropathy	Diabetic Nephropathies	D003928	C12.777.419.192	Disease	Male Urogenital Diseases	Serum	Fluids and Secretions	Male Urogenital Diseases	GWAS=-; Phecode=250.22
Kim 2021	Type 2 diabetic neuropathy	Diabetic Nephropathies	D003928	C12.777.419.192	Disease	Male Urogenital Diseases	Serum	Fluids and Secretions	Male Urogenital Diseases	GWAS=-; Phecode=250.24
Kim 2021	Diabetic retinopathy	Diabetic Retinopathy	D003930	C11.768.257	Disease	Eye Diseases	Serum	Fluids and Secretions	Eye Diseases	GWAS=EFO_0003770; Phecode=250.7
Kim 2021	Type 2 diabetic retinopathy	Diabetic Retinopathy	D003930	C11.768.257	Disease	Eye Diseases	Serum	Fluids and Secretions	Eye Diseases	GWAS=-; Phecode=250.23
Johnson 2015	Metabolite measurement	"Diagnostic Tests, Routine"	D003955	E01.370.395	Diagnosis	Diagnosis	Unspecified	Unspecified	-	GWAS=EFO_0004725; Phecode=-
Chang 2019	Diarrhoeal diseases	Diarrhea	D003967	C23.888.821.214	Disease	"Pathological Conditions, Signs and Symptoms"	Gastrointestinal Tract	Digestive System	"Communicable, maternal, neonatal, and nutritional diseases"	-
Kim 2021	Cancer of the digestive organs and peritoneum	Digestive System Neoplasms	D004067	C04.588.274	Disease	Neoplasms	Gastrointestinal Tract	Digestive System	Neoplasms	GWAS=-; Phecode=159
Kim 2021	Neoplasm of unspecified nature of digestive system	Digestive System Neoplasms	D004067	C04.588.274	Disease	Neoplasms	Gastrointestinal Tract	Digestive System	Neoplasms	GWAS=-; Phecode=158
Kim 2021	Secondary malignant neoplasm of digestive systems	Digestive System Neoplasms	D004067	C04.588.274	Disease	Neoplasms	Gastrointestinal Tract	Digestive System	Neoplasms	GWAS=-; Phecode=198.3
Kim 2021	Diverticulosis and diverticulitis	Diverticular Diseases	D000076385	C06.405.205.282	Disease	Digestive System Diseases	Colon	Digestive System	Digestive System Diseases	GWAS=-; Phecode=562
Donertas 2020	Diverticular disease/diverticulitis	Diverticulitis	D004238	C06.405.205.282.500	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=1; -
Kim 2021	Diverticulitis	Diverticulitis	D004238	C06.405.205.282.500	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=-; Phecode=562.2
Kim 2021	Diverticulosis	"Diverticulum, Colon"	D004241	C06.405.205.282.750.500	Disease	Digestive System Diseases	Colon	Digestive System	Digestive System Diseases	GWAS=-; Phecode=562.1
Kim 2021	"Diverticulum of esophagus, acquired"	"Diverticulum, Esophageal"	D004936	C06.405.205.282.750.625	Disease	Digestive System Diseases	Esophagus	Digestive System	Digestive System Diseases	GWAS=-; Phecode=530.6
Donertas 2020	Oesophageal disorder	"Diverticulum, Esophageal"	D004936	C06.405.205.282.750.625	Disease	Digestive System Diseases	Esophagus	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; Not-equivalent
Kim 2021	Dupuytren contracture	Dupuytren Contracture	D004387	C04.557.450.565.590.340.173	Disease	Neoplasms	Connective Tissue	Connective Tissue	Neoplasms	GWAS=EFO_0004229; Phecode=-
Kim 2021	Dupuytren's disease	Dupuytren Contracture	D004387	C04.557.450.565.590.340.173	Disease	Neoplasms	Connective Tissue	Connective Tissue	Neoplasms	GWAS=-; Phecode=728.71
Kim 2021	Abnormal involuntary movements	Dyskinesias	D020820	C10.228.662.262	Disease	Nervous System Diseases	Unspecified	Unspecified	Nervous System Diseases	GWAS=-; Phecode=350.1
Kim 2021	Spontaneous ecchymoses	Ecchymosis	D004438	C15.378.100.452	Disease	Hemic and Lymphatic Diseases	Blood	Hemic and Immune Systems	Hemic and Lymphatic Diseases	GWAS=-; Phecode=287.1
Kim 2021	Arterial embolism and thrombosis	Embolism and Thrombosis	D016769	C14.907.355	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=444
Kim 2021	Arterial embolism and thrombosis of lower extremity artery	Embolism and Thrombosis	D016769	C14.907.355	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=444.1
Kim 2021	Venous embolism & thrombosis	Embolism and Thrombosis	D016769	C14.907.355	Disease	Cardiovascular Diseases	Blood Vessels	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=452
Kim 2021	Emphysema	Emphysema	D004646	C23.550.325	Disease	"Pathological Conditions, Signs and Symptoms"	Lung	Respiratory System	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=496.1
Donertas 2020	Emphysema/chronic bronchitis	Emphysema	D004646	C23.550.325	Disease	"Pathological Conditions, Signs and Symptoms"	Lung	Respiratory System	respiratory/ent	Age-of-onset Cluster=2; Not-equivalent
Chang 2019	Encephalitis	Encephalitis	D004660	C10.228.140.430	Disease	Nervous System Diseases	Brain	Nervous System	"Communicable, maternal, neonatal, and nutritional diseases"	-
Kim 2021	Endocarditis	Endocarditis	D004696	C14.280.282	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=420.3
Chang 2019	Endocarditis	Endocarditis	D004696	C14.280.282	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Chang 2019	"Endocrine, metabolic, blood, and immune disorders"	Endocrine System Diseases	D004700	C19	Disease	Endocrine System Diseases	Endocrine System	Endocrine System	Other non-communicable diseases	Too big category
Kim 2021	Endometrial hyperplasia	Endometrial Hyperplasia	D004714	C13.351.500.852.228	Disease	Female Urogenital Diseases and Pregnancy Complications	Endometrium	Urogenital System	Female Urogenital Diseases and Pregnancy Complications	GWAS=-; Phecode=621
Kim 2021	Macular puckering of retina	Epiretinal Membrane	D019773	C11.768.328	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=362.26
Kim 2021	Erectile dysfunction	Erectile Dysfunction	D007172	C12.294.644.486	Disease	Male Urogenital Diseases	Urogenital System	Urogenital System	Male Urogenital Diseases	GWAS=EFO_0004234; Phecode=605
Kim 2021	Esophageal adenocarcinoma	Esophageal Neoplasms	D004938	C04.588.274.476.205	Disease	Neoplasms	Esophagus	Digestive System	Neoplasms	GWAS=EFO_0000478; Phecode=-
Kim 2021	Esophageal cancer	Esophageal Neoplasms	D004938	C04.588.274.476.205	Disease	Neoplasms	Esophagus	Digestive System	Neoplasms	GWAS=-; Phecode=150
Kim 2021	Esophageal carcinoma	Esophageal Neoplasms	D004938	C04.588.274.476.205	Disease	Neoplasms	Esophagus	Digestive System	Neoplasms	GWAS=EFO_0002916; Phecode=-
Chang 2019	Oesophageal cancer	Esophageal Neoplasms	D004938	C04.588.274.476.205	Disease	Neoplasms	Esophagus	Digestive System	Neoplasms	-
Donertas 2020	Essential hypertension	Essential Hypertension	D000075222	C14.907.489.165	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Essential hypertension	Essential Hypertension	D000075222	C14.907.489.165	Disease	Cardiovascular Diseases	Blood	Hemic and Immune Systems	Cardiovascular Diseases	GWAS=-; Phecode=401.1
Kim 2021	Essential tremor	Essential Tremor	D020329	C10.228.662.350	Disease	Nervous System Diseases	Brain	Nervous System	Nervous System Diseases	GWAS=EFO_0003108; Phecode=333.1
Kim 2021	Testicular hypofunction	Eunuchism	D005058	C19.391.482.293	Disease	Endocrine System Diseases	Testis	Urogenital System	Endocrine System Diseases	GWAS=-; Phecode=257.1
Kim 2021	Ectropion or entropion	Eyelid Diseases	D005141	C11.338	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=374.1
Donertas 2020	Eye/eyelid problem	Eyelid Diseases	D005141	C11.338	Disease	Eye Diseases	Eye	Sense Organs	neurology/eye/psychiatry	Age-of-onset Cluster=1; -
Kim 2021	Fasciitis	Fasciitis	D005208	C05.321	Disease	Musculoskeletal Diseases	Connective Tissue	Connective Tissue	Musculoskeletal Diseases	GWAS=-; Phecode=728.7
Kim 2021	Fracture of hand or wrist	"Fractures, Bone"	D050723	C26.404	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=804
Kim 2021	Fracture of vertebral column without mention of spinal cord injury	"Fractures, Bone"	D050723	C26.404	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=805
Kim 2021	"Osteoporosis, osteopenia, & pathological fractures"	"Fractures, Bone"	D050723	C26.404	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=743
Kim 2021	Patellar fracture	"Fractures, Bone"	D050723	C26.404	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=800.4
Kim 2021	Pathologic fracture	"Fractures, Spontaneous"	D005598	C26.404.374	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=743.2
Kim 2021	Pathologic fracture of vertebrae	"Fractures, Spontaneous"	D005598	C26.404.374	Disease	Wounds and Injuries	Bone and Bones	Musculoskeletal System	Wounds and Injuries	GWAS=-; Phecode=743.21
Donertas 2020	Gall bladder disease	Gallbladder Diseases	D005705	C06.130.564	Disease	Digestive System Diseases	Urinary Bladder	Urogenital System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Chang 2019	Gallbladder and biliary tract cancer	Gallbladder Neoplasms	D005706	C04.588.274.120.401	Disease	Neoplasms	Urinary Bladder	Urogenital System	Neoplasms	-
Kim 2021	Calculus of bile duct	Gallstones	D042882	C06.130.409.633	Disease	Digestive System Diseases	Bile Ducts	Digestive System	Digestive System Diseases	GWAS=-; Phecode=574.2
Donertas 2020	Cholelithiasis/gall stones	Gallstones	D042882	C06.130.409.633	Disease	Digestive System Diseases	Bile Ducts	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Kim 2021	Gangrene	Gangrene	D005734	C23.550.717.427	Disease	"Pathological Conditions, Signs and Symptoms"	Blood	Hemic and Immune Systems	"Pathological Conditions, Signs and Symptoms"	GWAS=-; Phecode=791
Donertas 2020	Gastro-oesophageal reflux (gord) / gastric reflux	Gastroesophageal Reflux	D005764	C06.405.117.119.500.484	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Donertas 2020	Other abdominal problem	Gastrointestinal Diseases	D005767	C06.405	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; -
Kim 2021	Gastrointestinal hemorrhage	Gastrointestinal Hemorrhage	D006471	C06.405.227	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=-; Phecode=578
Kim 2021	Hematochezia	Gastrointestinal Hemorrhage	D006471	C06.405.227	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=HP_0002573; Phecode=-
Kim 2021	Hemorrhage of gastrointestinal tract	Gastrointestinal Hemorrhage	D006471	C06.405.227	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=-; Phecode=578.9
Kim 2021	Hemorrhage of rectum and anus	Gastrointestinal Hemorrhage	D006471	C06.405.227	Disease	Digestive System Diseases	Gastrointestinal Tract	Digestive System	Digestive System Diseases	GWAS=-; Phecode=578.8
Kim 2021	Cancer of the lower GI tract	Gastrointestinal Neoplasms	D005770	C04.588.274.476	Disease	Neoplasms	Gastrointestinal Tract	Digestive System	Neoplasms	GWAS=-; Phecode=153.3
Donertas 2020	Gastrointestinal/abdominal	Gastrointestinal Tract	D041981	A03.556	Anatomy	Digestive System	Gastrointestinal Tract	Digestive System	gastrointestinal/abdominal	Age-of-onset Cluster=2; Not-equivalent; Too big category
Kim 2021	Dystrophy of female genital tract	"Genitalia, Female"	D005836	A05.360.319	Anatomy	Anatomy	Urogenital System	Urogenital System	Anatomy	GWAS=-; Phecode=624.1
Kim 2021	Giant cell arteritis	Giant Cell Arteritis	D013700	C10.114.875.700	Disease	Nervous System Diseases	Blood Vessels	Cardiovascular System	Nervous System Diseases	GWAS=-; Phecode=446.5
Kim 2021	Glaucoma	Glaucoma	D005901	C11.525.381	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=EFO_0000516; Phecode=365
Donertas 2020	Glaucoma	Glaucoma	D005901	C11.525.381	Disease	Eye Diseases	Eye	Sense Organs	neurology/eye/psychiatry	Age-of-onset Cluster=1; -
Chang 2019	Glaucoma	Glaucoma	D005901	C11.525.381	Disease	Eye Diseases	Eye	Sense Organs	Sense organ diseases	-
Kim 2021	Primary angle-closure glaucoma	"Glaucoma, Angle-Closure"	D015812	C11.525.381.056	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=365.2
Kim 2021	Open-angle glaucoma	"Glaucoma, Open-Angle"	D005902	C11.525.381.407	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=EFO_0004190; Phecode=365.1
Kim 2021	Primary open angle glaucoma	"Glaucoma, Open-Angle"	D005902	C11.525.381.407	Disease	Eye Diseases	Eye	Sense Organs	Eye Diseases	GWAS=-; Phecode=365.11
Kim 2021	Glossodynia	Glossalgia	D005926	C07.465.910.280	Disease	Stomatognathic Diseases	Tongue	Digestive System	Stomatognathic Diseases	GWAS=-; Phecode=529.6
Kim 2021	Abnormal glucose	Glucose	D005947	D09.947.875.359.448	Chemical	Chemical	Serum	Fluids and Secretions	Chemical	GWAS=-; Phecode=250.4
Kim 2021	Simple goiter	Goiter	D006042	C19.874.283	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=240
Kim 2021	Nontoxic multinodular goiter	"Goiter, Nodular"	D006044	C19.874.283.501	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=241.2
Kim 2021	Nontoxic nodular goiter	"Goiter, Nodular"	D006044	C19.874.283.501	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=241
Kim 2021	Nontoxic uninodular goiter	"Goiter, Nodular"	D006044	C19.874.283.501	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=241.1
Kim 2021	Toxic multinodular goiter	"Goiter, Nodular"	D006044	C19.874.283.501	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=-; Phecode=242.2
Kim 2021	Gout	Gout	D006073	C05.550.114.423	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=EFO_0004274; Phecode=274.1
Donertas 2020	Gout	Gout	D006073	C05.550.114.423	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	musculoskeletal/trauma	Age-of-onset Cluster=2; -
Kim 2021	Gout and other crystal arthropathies	Gout	D006073	C05.550.114.423	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=274
Kim 2021	Graves disease	Graves Disease	D006111	C19.874.283.605	Disease	Endocrine System Diseases	Thyroid Gland	Endocrine System	Endocrine System Diseases	GWAS=EFO_0004237; Phecode=-
Kim 2021	Hallux rigidus	Hallux Rigidus	D020859	C05.330.488.310	Disease	Musculoskeletal Diseases	Joints	Musculoskeletal System	Musculoskeletal Diseases	GWAS=-; Phecode=735.23
Kim 2021	Cancer of the upper aerodigestive tract	Head and Neck Neoplasms	D006258	C04.588.443	Disease	Neoplasms	Nose	Respiratory System	Neoplasms	GWAS=-; Phecode=149
Kim 2021	Hearing loss	Hearing Loss	D034381	C09.218.458.341	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Otorhinolaryngologic Diseases	GWAS=EFO_0004238; Phecode=389
Chang 2019	Age-related and other hearing loss	"Hearing Loss, Sensorineural"	D006319	C09.218.458.341.887	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Sense organ diseases	-
Kim 2021	Sensorineural hearing loss	"Hearing Loss, Sensorineural"	D006319	C09.218.458.341.887	Disease	Otorhinolaryngologic Diseases	Ear	Sense Organs	Otorhinolaryngologic Diseases	GWAS=-; Phecode=389.1
Kim 2021	Cardiac arrest	Heart Arrest	D006323	C14.280.383	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.42
Kim 2021	Cardiac arrest & ventricular fibrillation	Heart Arrest	D006323	C14.280.383	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=427.4
Donertas 2020	Heart/cardiac problem	Heart Diseases	D006331	C14.280	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=1; -
Kim 2021	Ill-defined descriptions and complications of heart disease	Heart Diseases	D006331	C14.280	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=429
Kim 2021	Other forms of chronic heart disease	Heart Diseases	D006331	C14.280	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=414
Kim 2021	Heart failure	Heart Failure	D006333	C14.280.434	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=EFO_0003144; Phecode=428
Kim 2021	Heart failure NOS	Heart Failure	D006333	C14.280.434	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=428.2
Kim 2021	Systolic/Diastolic heart failure	Heart Failure	D006333	C14.280.434	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=428.1
Johnson 2015	Qt interval	Heart Rate	D006339	E01.370.600.875.500	Diagnosis	Diagnosis	Heart	Cardiovascular System	-	GWAS=EFO_0004682; Phecode=-
Kim 2021	Heart transplant/surgery	Heart Transplantation	D016027	E04.100.376.475	Diagnosis	Diagnosis	Heart	Cardiovascular System	Diagnosis	GWAS=-; Phecode=429.1
Kim 2021	Heart valve disorders	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=395
Donertas 2020	Heart valve problem/heart murmur	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	cardiovascular	Age-of-onset Cluster=2; -
Kim 2021	Nonrheumatic aortic valve disorders	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=395.2
Chang 2019	Non-rheumatic calcific aortic valve disease	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Chang 2019	Non-rheumatic degenerative mitral valve disease	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	-
Kim 2021	Nonrheumatic mitral valve disorders	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=395.1
Chang 2019	Other non-rheumatic valve diseases	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular diseases	Not-equivalent
Kim 2021	Valvular heart disease/ heart chambers	Heart Valve Diseases	D006349	C14.280.484	Disease	Cardiovascular Diseases	Heart	Cardiovascular System	Cardiovascular Diseases	GWAS=-; Phecode=747.12
